Sample	Peptide	Count_1	Count_2	Count_3	Intensity_1	Intensity_2	Intensity_3
S1	1	9	13	9	69	42	32
S2	1	5	10	10	11	59	44
S3	1	28	20	24	137	42	86
S4	1	11	10	11	20	60	51
S5	1	7	14	18	15	141	98
S6	1	1	4	7	10	25	16
S7	1	15	24	24	292	448	380
S8	1	17	19	23	244	170	404
S9	1	16	15	22	298	244	402
S10	1	15	16	20	133	72	73
S11	1	27	20	18	664	300	559
S12	1	15	11	12	248	171	199
S1	2	13	15	10	66	89	61
S2	2	14	13	15	57	38	60
S3	2	23	28	25	88	118	73
S4	2	5	8	3	12	24	4
S5	2	23	12	6	153	61	57
S6	2	7	3	7	19	21	20
S7	2	5	13	3	28	48	4
S8	2	6	9	9	26	16	14
S9	2	20	20	13	126	54	50
S10	2	8	14	10	36	56	54
S11	2	0	5	6	0	7	16
S12	2	13	2	8	78	2	42
S1	3	14	15	9	81	80	17
S2	3	7	5	12	28	12	76
S3	3	34	18	31	133	99	119
S4	3	11	12	6	14	25	10
S5	3	10	13	17	98	64	129
S6	3	14	24	11	230	457	265
S7	3	11	14	10	115	108	135
S8	3	13	10	8	107	191	66
S9	3	13	10	9	66	49	21
S10	3	12	14	9	25	73	90
S11	3	5	9	15	10	82	139
S12	3	8	1	15	70	1	54
S1	4	15	12	27	74	21	137
S2	4	9	12	6	26	50	9
S3	4	26	25	26	112	87	131
S4	4	6	5	8	8	17	17
S5	4	6	14	6	34	115	13
S6	4	7	7	1	27	23	1
S7	4	13	7	8	27	18	12
S8	4	9	8	6	17	11	16
S9	4	14	8	8	74	47	11
S10	4	17	15	8	38	42	28
S11	4	6	1	4	14	1	26
S12	4	3	2	1	16	3	1
S1	5	20	13	14	132	75	52
S2	5	9	3	2	34	5	8
S3	5	22	20	19	67	60	88
S4	5	10	3	6	25	4	10
S5	5	13	10	12	121	89	36
S6	5	10	3	6	21	4	13
S7	5	6	9	7	35	63	15
S8	5	9	11	5	23	75	57
S9	5	9	15	15	86	50	124
S10	5	14	9	5	111	16	26
S11	5	19	17	14	263	348	318
S12	5	4	2	2	108	31	31
M1	M	26	11	9	88	113	32
M2	M	20	17	10	338	254	188
M3	M	8	6	3	54	12	11
M4	M	16	4	4	111	11	37
M5	M	7	6	1	11	22	1
M6	M	16	13	11	88	56	51
M7	M	21	18	35	375	521	645
M8	M	13	16	18	200	323	359
M9	M	2	2	1	28	4	1
M10	M	32	37	34	767	815	973
M11	M	13	6	8	118	42	41
M12	M	24	19	22	285	278	448
S1	Negative	14	14	36	37	53	110
S2	Negative	8	16	14	18	43	23
S3	Negative	43	20	20	118	93	62
S4	Negative	7	10	7	28	17	9
S5	Negative	11	9	6	67	14	13
S6	Negative	3	6	2	5	19	13
S7	Negative	17	11	10	106	25	21
S8	Negative	10	12	6	42	41	15
S9	Negative	6	15	12	17	79	37
S10	Negative	12	5	17	78	9	55
S11	Negative	6	2	7	12	2	50
S12	Negative	2	6	3	4	10	50
M1	Negative	14	8	13	36	40	69
M2	Negative	1	5	3	1	14	4
M3	Negative	11	9	7	92	26	47
M4	Negative	4	6	4	7	12	11
M5	Negative	7	7	3	10	15	4
M6	Negative	13	11	7	24	48	38
M7	Negative	10	10	6	63	40	11
M8	Negative	3	9	3	36	72	4
M9	Negative	5	8	3	14	18	27
M10	Negative	12	12	3	77	19	13
M11	Negative	2	5	5	5	32	60
M12	Negative	5	5	5	23	14	14
C1	1	4	3	2	6	12	3
C2	1	9	19	6	27	56	29
C3	1	4	3	9	27	17	21
C4	1	6	6	1	49	20	2
C1	2	10	8	6	46	50	10
C2	2	12	4	8	55	30	47
C3	2	1	7	6	1	21	12
C4	2	3	1	2	5	7	2
C1	3	6	7	6	35	22	12
C2	3	10	9	11	33	25	104
C3	3	4	5	6	23	18	27
C4	3	4	9	3	25	56	37
C1	4	6	12	9	54	59	22
C2	4	11	9	10	47	31	35
C3	4	8	3	6	18	4	21
C4	4	5	5	5	7	35	41
C1	5	10	13	10	43	34	17
C2	5	11	7	8	82	20	14
C3	5	2	3	6	2	3	8
C4	5	8	7	1	13	22	1
C1	M	4	10	7	8	33	11
C2	M	8	6	12	18	13	22
C3	M	6	4	4	32	15	24
C4	M	4	3	6	8	7	45
C1	Negative	7	10	9	18	59	42
