,Symbol,Set,\# Peptides,HLA-I Coverage,HLA-II Coverage,Total Coverage,\# B-cell Epitope Regions
0,$ \circledast $,CD4+/CD8+,5,0.9064892454351795,0.8845078718244856,0.8017968733116545,0
1,$ \circledast^d $,CD4+/CD8+ (H2$^d$ ligands),3,0.8108505777960229,0.7618999297822261,0.6177869982866673,0
2,$ \circledast^b $,CD4+/CD8+ (H2$^b$ ligands),3,0.8177452691390013,0.6249245612998995,0.5110291035717586,0
3,$ \circledast^{bd} $,CD4+/CD8+ (H2$^b$ and H2$^d$ ligands),2,0.7720392950340619,0.6584031491829407,0.5083131031434038,0
4,$ \circ $,CD4+,3,0.8394683347037764,0.8845078718244855,0.7425163501928821,0
5,$ \circ^d $,CD4+ (H2$^d$ ligands),3,0.8667995357324413,0.8468514974946189,0.7340504848626583,0
6,$ \circ^b $,CD4+ (H2$^b$ ligands),3,0.8394683347037764,0.8468514974946189,0.7109050163432069,0
7,$ \circ^{bd} $,CD4+ (H2$^b$ and H2$^d$ ligands),3,0.8667995357324413,0.8468514974946189,0.7340504848626583,0
8,$ \ast $,CD8+,3,0.9577489696434955,0.38447306625073496,0.3682286830573168,0
9,$ \ast^d $,CD8+ (H2$^d$ ligands),3,0.946484427032754,0.22627055557803366,0.21416155715065813,0
10,$ \ast^b $,CD8+ (H2$^b$ ligands),3,0.9119103897516219,0.46493163594594333,0.42397598934332437,0
11,$ \ast^{bd} $,CD8+ (H2$^b$ and H2$^d$ ligands),3,0.9119103897516219,0.46493163594594333,0.42397598934332437,0
12,$ \setlength{\fboxsep}{0.5pt} \boxed{\circledast} $,B-Cell/CD4+/CD8+,4,0.7721642880357321,0.4576264823378061,0.3533628269206686,3
13,$ \boxcircle $,B-Cell/CD4+,5,0.7721642880357321,0.6269385406505328,0.48409955188357956,3
14,$ \boxcircle^b $,B-Cell/CD4+ (H2$^b$ ligands),2,0.0,0.39391529615593746,0.0,2
15,$ \boxast $,B-Cell/CD8+,6,0.8420936539142636,0.29901398793555356,0.25179778167212585,3
16,$ \boxast^d $,B-Cell/CD8+ (H2$^d$ ligands),1,0.7721642880357321,0.20446748125359293,0.15788248708864,1
17,$ \boxast^b $,B-Cell/CD8+ (H2$^b$ ligands),2,0.725415024214127,0.20446748125359293,0.14832378286457668,1
18,$ \boxast^{bd} $,B-Cell/CD8+ (H2$^b$ and H2$^d$ ligands),1,0.7721642880357321,0.20446748125359293,0.15788248708864,1
19,$ \boxempty $,B-Cell,3,0.4397068110537946,0.11884681575423994,0.052257754359194726,3
