"","gene","cell_count","frequency"
"1","ADORA2A",0,0
"2","CD3D",8,0.0388349514563107
"3","CD3E",6,0.029126213592233
"4","CD3G",2,0.00970873786407767
"5","CD4",23,0.111650485436893
"6","CD8A",3,0.0145631067961165
"7","CD8B",2,0.00970873786407767
"8","CD27",2,0.00970873786407767
"9","CD28",1,0.00485436893203883
"10","CD40",28,0.135922330097087
"11","CD70",4,0.0194174757281553
"12","CD80",13,0.0631067961165049
"13","CD86",27,0.131067961165049
"14","KLRD1",17,0.0825242718446602
"15","IL2RB",4,0.0194174757281553
"16","TNFRSF4",10,0.0485436893203883
"17","TNFRSF9",2,0.00970873786407767
"18","CTLA4",1,0.00485436893203883
"19","CD40LG",3,0.0145631067961165
"20","LAG3",0,0
"21","TNFSF4",0,0
"22","BTLA",11,0.0533980582524272
"23","PDCD1LG2",9,0.0436893203883495
"24","CD274",13,0.0631067961165049
"25","ICOS",3,0.0145631067961165
"26","PDCD1",0,0
"27","HAVCR2",38,0.184466019417476
"28","HLA-A",182,0.883495145631068
"29","HLA-B",190,0.922330097087379
"30","HLA-C",174,0.844660194174757
"31","HLA-DRA",190,0.922330097087379
"32","HLA-DRB1",177,0.859223300970874
"33","HLA-DQA1",84,0.407766990291262
"34","HLA-DQB1",117,0.567961165048544
"35","HLA-DPA1",159,0.771844660194175
"36","HLA-DPB1",146,0.70873786407767
"37","KIR3DL1",0,0
"38","KIR2DL3",0,0
"39","LGALS9",18,0.087378640776699
"40","IDO1",20,0.0970873786407767
"41","TDO2",0,0
"42","TNFRSF14",47,0.228155339805825
"43","TNFRSF18",2,0.00970873786407767
"44","C10orf54",65,0.315533980582524
"45","VTCN1",2,0.00970873786407767
