"","gene","cell_count","frequency"
"1","ADORA2A",0,0
"2","CD3D",2,0.166666666666667
"3","CD3E",0,0
"4","CD3G",1,0.0833333333333333
"5","CD4",6,0.5
"6","CD8A",1,0.0833333333333333
"7","CD8B",0,0
"8","CD27",0,0
"9","CD28",1,0.0833333333333333
"10","CD40",2,0.166666666666667
"11","CD70",0,0
"12","CD80",1,0.0833333333333333
"13","CD86",2,0.166666666666667
"14","KLRD1",1,0.0833333333333333
"15","IL2RB",0,0
"16","TNFRSF4",0,0
"17","TNFRSF9",3,0.25
"18","CTLA4",0,0
"19","CD40LG",0,0
"20","LAG3",0,0
"21","TNFSF4",1,0.0833333333333333
"22","BTLA",0,0
"23","PDCD1LG2",0,0
"24","CD274",3,0.25
"25","ICOS",1,0.0833333333333333
"26","PDCD1",1,0.0833333333333333
"27","HAVCR2",0,0
"28","HLA-A",11,0.916666666666667
"29","HLA-B",11,0.916666666666667
"30","HLA-C",10,0.833333333333333
"31","HLA-DRA",12,1
"32","HLA-DRB1",12,1
"33","HLA-DQA1",8,0.666666666666667
"34","HLA-DQB1",7,0.583333333333333
"35","HLA-DPA1",11,0.916666666666667
"36","HLA-DPB1",12,1
"37","KIR3DL1",1,0.0833333333333333
"38","KIR2DL3",0,0
"39","LGALS9",3,0.25
"40","IDO1",0,0
"41","TDO2",0,0
"42","TNFRSF14",0,0
"43","TNFRSF18",0,0
"44","C10orf54",4,0.333333333333333
"45","VTCN1",2,0.166666666666667
