"","gene","cell_count","frequency"
"1","ADORA2A",0,0
"2","CD3D",3,0.000830105146651909
"3","CD3E",3,0.000830105146651909
"4","CD3G",2,0.000553403431101273
"5","CD4",0,0
"6","CD8A",0,0
"7","CD8B",227,0.0628112894299945
"8","CD27",1,0.000276701715550636
"9","CD28",0,0
"10","CD40",124,0.0343110127282789
"11","CD70",1,0.000276701715550636
"12","CD80",0,0
"13","CD86",0,0
"14","KLRD1",3,0.000830105146651909
"15","IL2RB",3,0.000830105146651909
"16","TNFRSF4",0,0
"17","TNFRSF9",0,0
"18","CTLA4",0,0
"19","CD40LG",0,0
"20","LAG3",27,0.00747094631986718
"21","TNFSF4",3,0.000830105146651909
"22","BTLA",0,0
"23","PDCD1LG2",0,0
"24","CD274",34,0.00940785832872164
"25","ICOS",0,0
"26","PDCD1",0,0
"27","HAVCR2",3,0.000830105146651909
"28","HLA-A",3610,0.998893193137797
"29","HLA-B",3596,0.995019369120089
"30","HLA-C",3596,0.995019369120089
"31","HLA-DRA",3237,0.89568345323741
"32","HLA-DRB1",3270,0.904814609850581
"33","HLA-DQA1",17,0.00470392916436082
"34","HLA-DQB1",2337,0.646651909241837
"35","HLA-DPA1",725,0.200608743774211
"36","HLA-DPB1",1058,0.292750415052573
"37","KIR3DL1",0,0
"38","KIR2DL3",0,0
"39","LGALS9",850,0.235196458218041
"40","IDO1",0,0
"41","TDO2",0,0
"42","TNFRSF14",2202,0.609297177642501
"43","TNFRSF18",2,0.000553403431101273
"44","C10orf54",1768,0.489208633093525
"45","VTCN1",0,0
