"","gene","cell_count","frequency"
"1","ADORA2A",0,0
"2","CD3D",0,0
"3","CD3E",0,0
"4","CD3G",0,0
"5","CD4",2,0.00634920634920635
"6","CD8A",0,0
"7","CD8B",0,0
"8","CD27",0,0
"9","CD28",0,0
"10","CD40",74,0.234920634920635
"11","CD70",6,0.019047619047619
"12","CD80",0,0
"13","CD86",3,0.00952380952380952
"14","KLRD1",0,0
"15","IL2RB",0,0
"16","TNFRSF4",1,0.00317460317460317
"17","TNFRSF9",0,0
"18","CTLA4",0,0
"19","CD40LG",0,0
"20","LAG3",3,0.00952380952380952
"21","TNFSF4",0,0
"22","BTLA",0,0
"23","PDCD1LG2",0,0
"24","CD274",5,0.0158730158730159
"25","ICOS",0,0
"26","PDCD1",0,0
"27","HAVCR2",0,0
"28","HLA-A",292,0.926984126984127
"29","HLA-B",291,0.923809523809524
"30","HLA-C",291,0.923809523809524
"31","HLA-DRA",180,0.571428571428571
"32","HLA-DRB1",146,0.463492063492064
"33","HLA-DQA1",15,0.0476190476190476
"34","HLA-DQB1",45,0.142857142857143
"35","HLA-DPA1",70,0.222222222222222
"36","HLA-DPB1",42,0.133333333333333
"37","KIR3DL1",0,0
"38","KIR2DL3",0,0
"39","LGALS9",82,0.26031746031746
"40","IDO1",82,0.26031746031746
"41","TDO2",0,0
"42","TNFRSF14",83,0.263492063492063
"43","TNFRSF18",5,0.0158730158730159
"44","C10orf54",99,0.314285714285714
"45","VTCN1",37,0.117460317460317
