"","gene","cell_count","frequency"
"1","ADORA2A",0,0
"2","CD3D",87,0.0280012874155134
"3","CD3E",42,0.0135178628902478
"4","CD3G",30,0.00965561635017702
"5","CD4",5,0.00160926939169617
"6","CD8A",11,0.00354039266173157
"7","CD8B",66,0.0212423559703894
"8","CD27",26,0.00836820083682008
"9","CD28",16,0.00514966205342774
"10","CD40",76,0.0244608947537818
"11","CD70",0,0
"12","CD80",2,0.000643707756678468
"13","CD86",5,0.00160926939169617
"14","KLRD1",25,0.00804634695848085
"15","IL2RB",6,0.0019311232700354
"16","TNFRSF4",17,0.00547151593176698
"17","TNFRSF9",11,0.00354039266173157
"18","CTLA4",6,0.0019311232700354
"19","CD40LG",19,0.00611522368844545
"20","LAG3",10,0.00321853878339234
"21","TNFSF4",1,0.000321853878339234
"22","BTLA",5,0.00160926939169617
"23","PDCD1LG2",0,0
"24","CD274",11,0.00354039266173157
"25","ICOS",13,0.00418410041841004
"26","PDCD1",2,0.000643707756678468
"27","HAVCR2",7,0.00225297714837464
"28","HLA-A",2421,0.779208239459286
"29","HLA-B",2464,0.793047956227872
"30","HLA-C",2112,0.679755391052462
"31","HLA-DRA",2230,0.717734148696492
"32","HLA-DRB1",1845,0.593820405535887
"33","HLA-DQA1",45,0.0144834245252655
"34","HLA-DQB1",373,0.120051496620534
"35","HLA-DPA1",588,0.18925008046347
"36","HLA-DPB1",377,0.121338912133891
"37","KIR3DL1",0,0
"38","KIR2DL3",0,0
"39","LGALS9",340,0.10943031863534
"40","IDO1",6,0.0019311232700354
"41","TDO2",2,0.000643707756678468
"42","TNFRSF14",655,0.210814290312198
"43","TNFRSF18",11,0.00354039266173157
"44","C10orf54",463,0.149018345671065
"45","VTCN1",0,0
