"","gene","cell_count","frequency"
"1","ADORA2A",0,0
"2","CD3D",1,0.0714285714285714
"3","CD3E",0,0
"4","CD3G",2,0.142857142857143
"5","CD4",0,0
"6","CD8A",0,0
"7","CD8B",0,0
"8","CD27",0,0
"9","CD28",0,0
"10","CD40",0,0
"11","CD70",0,0
"12","CD80",0,0
"13","CD86",0,0
"14","KLRD1",1,0.0714285714285714
"15","IL2RB",0,0
"16","TNFRSF4",0,0
"17","TNFRSF9",1,0.0714285714285714
"18","CTLA4",0,0
"19","CD40LG",0,0
"20","LAG3",0,0
"21","TNFSF4",0,0
"22","BTLA",0,0
"23","PDCD1LG2",0,0
"24","CD274",1,0.0714285714285714
"25","ICOS",1,0.0714285714285714
"26","PDCD1",0,0
"27","HAVCR2",0,0
"28","HLA-A",9,0.642857142857143
"29","HLA-B",14,1
"30","HLA-C",10,0.714285714285714
"31","HLA-DRA",12,0.857142857142857
"32","HLA-DRB1",12,0.857142857142857
"33","HLA-DQA1",6,0.428571428571429
"34","HLA-DQB1",4,0.285714285714286
"35","HLA-DPA1",9,0.642857142857143
"36","HLA-DPB1",6,0.428571428571429
"37","KIR3DL1",0,0
"38","KIR2DL3",0,0
"39","LGALS9",0,0
"40","IDO1",0,0
"41","TDO2",0,0
"42","TNFRSF14",6,0.428571428571429
"43","TNFRSF18",0,0
"44","C10orf54",3,0.214285714285714
"45","VTCN1",0,0
