,Symbol,Set,\# Peptides,HLA-I Coverage,HLA-II Coverage,Total Coverage,\# B-cell Epitope Regions
0,$ \circledast $,CD4+/CD8+,4,0.9512608066259096,0.8972115947718159,0.8534822253567563,0
1,$ \circledast^d $,CD4+/CD8+ (H2$^d$ ligands),3,0.9390379562245623,0.8845078718244855,0.8305864642226021,0
2,$ \circledast^b $,CD4+/CD8+ (H2$^b$ ligands),4,0.925599443326659,0.8972115947718158,0.8304585526670166,0
3,$ \circledast^{bd} $,CD4+/CD8+ (H2$^b$ and H2$^d$ ligands),3,0.925599443326659,0.8845078718244855,0.8186999937787917,0
4,$ \circ $,CD4+,3,0.9204845250462271,0.8972115947718158,0.8258693886795029,0
5,$ \circ^d $,CD4+ (H2$^d$ ligands),3,0.9204845250462271,0.8972115947718158,0.8258693886795029,0
6,$ \circ^b $,CD4+ (H2$^b$ ligands),3,0.9204845250462271,0.8972115947718158,0.8258693886795029,0
7,$ \circ^{bd} $,CD4+ (H2$^b$ and H2$^d$ ligands),3,0.9204845250462271,0.8972115947718158,0.8258693886795029,0
8,$ \ast $,CD8+,2,0.9593994275777784,0.6990008471742244,0.670621012655333,0
9,$ \ast^d $,CD8+ (H2$^d$ ligands),2,0.9593994275777784,0.6990008471742244,0.670621012655333,0
10,$ \ast^b $,CD8+ (H2$^b$ ligands),2,0.9593994275777784,0.6990008471742244,0.670621012655333,0
11,$ \ast^{bd} $,CD8+ (H2$^b$ and H2$^d$ ligands),2,0.9593994275777784,0.6990008471742244,0.670621012655333,0
12,$ \setlength{\fboxsep}{0.5pt} \boxed{\circledast} $,B-Cell/CD4+/CD8+,3,0.8891449691692466,0.6269385406505328,0.5574392493977304,3
13,$ \boxcircle $,B-Cell/CD4+,3,0.8891449691692466,0.6269385406505328,0.5574392493977304,3
14,$ \boxcircle^d $,B-Cell/CD4+ (H2$^d$ ligands),1,0.6619075813530046,0.3985834998865039,0.2638254403770914,1
15,$ \boxcircle^b $,B-Cell/CD4+ (H2$^b$ ligands),2,0.6477112863015714,0.39391529615593746,0.25514338316702667,2
16,$ \boxast $,B-Cell/CD8+,3,0.9080185112027349,0.5766213343837641,0.5235828455748798,3
17,$ \boxast^d $,B-Cell/CD8+ (H2$^d$ ligands),1,0.81784520112457,0.38447306625073496,0.31443945219481245,1
18,$ \boxast^b $,B-Cell/CD8+ (H2$^b$ ligands),2,0.8938936274098114,0.4647770596689167,0.4154612518043143,2
19,$ \boxast^{bd} $,B-Cell/CD8+ (H2$^b$ and H2$^d$ ligands),1,0.81784520112457,0.38447306625073496,0.31443945219481245,1
20,$ \boxempty $,B-Cell,3,0.81784520112457,0.5283866018458876,0.4321384466581781,3
