DRB1	EUR_freq	EUR_rank	AFA_freq	AFA_rank	API_freq	API_rank	HIS_freq	HIS_rank
0101	0.09149	4	0.02599	15	0.02743	14	0.03877	9
0102	0.01703	13	0.03992	9	0.00028	50	0.03302	11
0103	0.00889	19	0.00229	29	0.00028	45	0.00625	33
0301	0.12916	3	0.07069	4	0.05373	7	0.07329	2
0302	0.00006	37	0.06528	5	0.00000	NA	0.00800	31
0305	0.00000	NA	0.00021	47	0.00000	NA	0.00025	57
0306	0.00000	NA	0.00021	52	0.00000	NA	0.00000	NA
0401	0.09111	5	0.02287	16	0.00905	22	0.01451	22
0402	0.00972	17	0.00042	42	0.00368	29	0.01951	17
0403	0.00572	23	0.00229	28	0.03450	11	0.01901	19
0404	0.03634	9	0.00686	22	0.00905	23	0.05453	6
0405	0.00368	25	0.00956	21	0.05798	6	0.01926	18
0406	0.00025	33	0.00062	41	0.02064	17	0.00200	39
0407	0.00947	18	0.00395	26	0.00141	36	0.06428	5
0408	0.00248	26	0.00062	40	0.00141	37	0.00350	37
0409	0.00000	NA	0.00021	48	0.00000	NA	0.00000	NA
0410	0.00000	NA	0.00062	37	0.00368	28	0.00475	36
0411	0.00000	NA	0.00083	35	0.00000	NA	0.02351	15
0414	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	47
0417	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	44
0418	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	51
0701	0.13767	2	0.09771	2	0.08201	2	0.10455	1
0703	0.00000	NA	0.00000	NA	0.00028	44	0.00000	NA
0801	0.02363	12	0.00457	25	0.00452	25	0.00825	30
0802	0.00025	34	0.00104	34	0.01301	21	0.07329	3
0803	0.00133	29	0.00042	45	0.05175	8	0.00125	40
0804	0.00089	31	0.05052	8	0.00000	NA	0.01126	27
0805	0.00000	NA	0.00000	NA	0.00028	47	0.00000	NA
0806	0.00006	40	0.00520	24	0.00000	NA	0.00100	42
0809	0.00000	NA	0.00000	NA	0.00226	34	0.00000	NA
0810	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	50
0811	0.00006	41	0.00104	32	0.00000	NA	0.00000	NA
0901	0.00820	21	0.03160	13	0.10181	1	0.00950	29
1001	0.00826	20	0.01850	18	0.03111	12	0.01451	21
1101	0.05654	7	0.08711	3	0.05119	9	0.04202	8
1102	0.00152	28	0.03909	11	0.00000	NA	0.01301	25
1103	0.00483	24	0.00062	38	0.00000	NA	0.00575	35
1104	0.03189	10	0.00561	23	0.00650	24	0.02551	13
1106	0.00000	NA	0.00000	NA	0.00311	31	0.00000	NA
1108	0.00000	NA	0.00000	NA	0.00028	53	0.00000	NA
1109	0.00006	43	0.00000	NA	0.00000	NA	0.00000	NA
1110	0.00000	NA	0.00166	31	0.00000	NA	0.00025	53
1111	0.00000	NA	0.00000	NA	0.00085	38	0.00000	NA
1115	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	52
1117	0.00000	NA	0.00021	50	0.00000	NA	0.00000	NA
1139	0.00006	39	0.00000	NA	0.00000	NA	0.00000	NA
1201g	0.01468	14	0.03950	10	0.02885	13	0.01201	26
1202	0.00000	NA	0.00270	27	0.07410	5	0.00075	43
1208	0.00000	NA	0.00000	NA	0.00028	51	0.00000	NA
1301	0.06283	6	0.05551	7	0.02376	16	0.04202	7
1302	0.04015	8	0.06445	6	0.03620	10	0.03877	10
1303	0.00991	16	0.03701	12	0.00028	52	0.01526	20
1304	0.00006	36	0.01310	20	0.00000	NA	0.00600	34
1305	0.00235	27	0.00042	46	0.00000	NA	0.00325	38
1306	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	54
1309	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	48
1311	0.00006	44	0.00021	51	0.00000	NA	0.00025	46
1312	0.00000	NA	0.00000	NA	0.00424	26	0.00000	NA
1316	0.00000	NA	0.00042	44	0.00000	NA	0.00000	NA
1320	0.00000	NA	0.00021	49	0.00000	NA	0.00000	NA
1331	0.00000	NA	0.00062	36	0.00000	NA	0.00000	NA
1336	0.00000	NA	0.00021	53	0.00000	NA	0.00000	NA
1340	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	55
1350	0.00000	NA	0.00000	NA	0.00028	48	0.00000	NA
1401g	0.02459	11	0.02141	17	0.02404	15	0.01376	23
1402	0.00000	NA	0.00062	39	0.00028	54	0.02376	14
1403	0.00000	NA	0.00000	NA	0.00368	30	0.00000	NA
1404	0.00032	32	0.00042	43	0.02036	18	0.00025	45
1405	0.00000	NA	0.00000	NA	0.01753	20	0.00025	56
1406	0.00006	42	0.00000	NA	0.00283	32	0.02551	12
1407	0.00006	38	0.00000	NA	0.00255	33	0.00100	41
1408	0.00000	NA	0.00000	NA	0.00028	49	0.00000	NA
1412	0.00000	NA	0.00000	NA	0.00028	57	0.00000	NA
1418	0.00000	NA	0.00000	NA	0.00141	35	0.00000	NA
1419	0.00000	NA	0.00000	NA	0.00057	40	0.00000	NA
1422	0.00000	NA	0.00000	NA	0.00028	46	0.00000	NA
1425	0.00000	NA	0.00000	NA	0.00028	56	0.00000	NA
1501	0.14441	1	0.02931	14	0.07919	4	0.06678	4
1502	0.00775	22	0.00166	30	0.08088	3	0.01326	24
1503	0.00019	35	0.11746	1	0.00057	41	0.01126	28
1504	0.00000	NA	0.00000	NA	0.00057	39	0.00025	49
1506	0.00000	NA	0.00000	NA	0.00396	27	0.00000	NA
1507	0.00000	NA	0.00000	NA	0.00028	43	0.00000	NA
1514	0.00000	NA	0.00000	NA	0.00028	55	0.00000	NA
1601	0.01061	15	0.00104	33	0.00028	42	0.00775	32
1602	0.00127	30	0.01538	19	0.01951	19	0.02101	16
