A	EUR_freq	EUR_rank	AFA_freq	AFA_rank	API_freq	API_rank	HIS_freq	HIS_rank
0101g	0.17181	2	0.04742	8	0.05082	5	0.06702	4
0102	0.00006	52	0.00645	25	0.00000	NA	0.00301	30
0103	0.00013	35	0.00021	47	0.00000	NA	0.00000	NA
0116N	0.00006	43	0.00000	NA	0.00000	NA	0.00000	NA
0201g	0.29604	1	0.12458	1	0.09458	3	0.19403	1
0202	0.00083	24	0.04201	10	0.00028	41	0.00678	22
0203	0.00000	NA	0.00021	48	0.03162	10	0.00025	59
0204	0.00000	NA	0.00021	58	0.00000	NA	0.00276	31
0205	0.00801	17	0.01872	17	0.00339	24	0.01481	17
0206	0.00197	21	0.00021	56	0.04828	6	0.03916	9
0207g	0.00000	NA	0.00000	NA	0.04376	7	0.00000	NA
0210	0.00000	NA	0.00000	NA	0.00085	36	0.00000	NA
0211g	0.00000	NA	0.00021	55	0.01158	19	0.00326	29
0212	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	51
0213	0.00013	37	0.00021	57	0.00000	NA	0.00075	45
0214	0.00000	NA	0.00021	44	0.00000	NA	0.00000	NA
0216	0.00000	NA	0.00000	NA	0.00113	33	0.00000	NA
0217	0.00051	27	0.00000	NA	0.00000	NA	0.00351	27
0219	0.00006	42	0.00000	NA	0.00000	NA	0.00000	NA
0220	0.00013	36	0.00021	46	0.00056	38	0.00151	40
0222	0.00000	NA	0.00021	43	0.00000	NA	0.00201	37
0224	0.00019	33	0.00000	NA	0.00000	NA	0.00000	NA
0230	0.00019	34	0.00000	NA	0.00000	NA	0.00025	61
0242	0.00000	NA	0.00000	NA	0.00028	49	0.00000	NA
0253N	0.00000	NA	0.00000	NA	0.00028	43	0.00000	NA
0260	0.00000	NA	0.00062	33	0.00000	NA	0.00025	52
0274	0.00000	NA	0.00021	53	0.00000	NA	0.00000	NA
0301g	0.14347	3	0.08132	3	0.02597	11	0.07907	3
0302	0.00280	18	0.00083	31	0.00536	22	0.00176	38
0305	0.00006	50	0.00000	NA	0.00000	NA	0.00000	NA
0307	0.00006	51	0.00000	NA	0.00000	NA	0.00000	NA
1101g	0.05642	5	0.01581	18	0.17899	2	0.04618	7
1102	0.00006	49	0.00000	NA	0.01525	16	0.00000	NA
1103	0.00000	NA	0.00000	NA	0.00028	42	0.00000	NA
1104	0.00025	31	0.00000	NA	0.00000	NA	0.00025	57
1105	0.00013	38	0.00000	NA	0.00000	NA	0.00025	58
1119	0.00000	NA	0.00000	NA	0.00028	47	0.00000	NA
2301g	0.01684	12	0.10774	2	0.00226	27	0.03690	10
2305	0.00000	NA	0.00021	59	0.00000	NA	0.00025	54
2402g	0.08686	4	0.02205	15	0.18238	1	0.12324	2
2403g	0.00108	23	0.00042	37	0.00565	21	0.00201	36
2405	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	47
2407	0.00006	47	0.00083	30	0.01779	14	0.00050	48
2408	0.00000	NA	0.00000	NA	0.00056	37	0.00000	NA
2410	0.00000	NA	0.00000	NA	0.00254	26	0.00000	NA
2414	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	56
2417	0.00000	NA	0.00042	36	0.00423	23	0.00000	NA
2420	0.00000	NA	0.00000	NA	0.00169	28	0.00000	NA
2422	0.00000	NA	0.00000	NA	0.00000	NA	0.00126	42
2425	0.00000	NA	0.00000	NA	0.00000	NA	0.00251	35
2426	0.00006	39	0.00000	NA	0.00000	NA	0.00075	46
2458	0.00006	46	0.00000	NA	0.00000	NA	0.00000	NA
2501	0.01925	11	0.00499	26	0.00056	39	0.00879	20
2502	0.00006	54	0.00000	NA	0.00000	NA	0.00000	NA
2601g	0.02948	8	0.01414	20	0.03896	8	0.02887	11
2602	0.00000	NA	0.00000	NA	0.00734	20	0.00025	62
2603	0.00000	NA	0.00021	45	0.00141	31	0.00000	NA
2607	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	53
2608	0.00038	29	0.00042	35	0.00000	NA	0.00100	44
2609	0.00006	40	0.00000	NA	0.00000	NA	0.00000	NA
2612	0.00000	NA	0.00042	39	0.00000	NA	0.00000	NA
2901g	0.00216	20	0.00104	29	0.01440	17	0.00351	25
2902	0.03279	6	0.03640	12	0.00141	30	0.04167	8
3001	0.01341	13	0.06905	4	0.02061	12	0.02108	15
