B	EUR_freq	EUR_rank	AFA_freq	AFA_rank	API_freq	API_rank	HIS_freq	HIS_rank
0702g	0.13987	1	0.07303	2	0.02632	15	0.05453	4
0704	0.00044	46	0.00000	NA	0.00000	NA	0.00000	NA
0705g	0.00210	37	0.00747	27	0.01952	20	0.00525	45
0709	0.00000	NA	0.00021	87	0.00000	NA	0.00000	NA
0710	0.00019	54	0.00000	NA	0.00000	NA	0.00000	NA
0715	0.00006	79	0.00000	NA	0.00000	NA	0.00000	NA
0721	0.00006	64	0.00000	NA	0.00000	NA	0.00000	NA
0801g	0.12525	2	0.03838	9	0.01641	21	0.04452	6
0805	0.00006	66	0.00000	NA	0.00000	NA	0.00000	NA
0812	0.00000	NA	0.00062	59	0.00000	NA	0.00000	NA
1301	0.00000	NA	0.00041	67	0.03254	13	0.00075	80
1302	0.02644	13	0.00954	24	0.02320	17	0.01201	28
1401	0.00832	23	0.00934	26	0.00283	44	0.00900	34
1402	0.03095	12	0.02199	15	0.00113	65	0.04102	7
1403	0.00000	NA	0.00249	42	0.00000	NA	0.00050	88
1405	0.00000	NA	0.00041	65	0.00000	NA	0.00000	NA
1406	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	115
1501g	0.06654	4	0.00975	23	0.03480	11	0.02876	10
1502	0.00000	NA	0.00083	55	0.03565	10	0.00025	99
1503g	0.00089	39	0.06245	4	0.00028	88	0.01601	20
1504	0.00000	NA	0.00000	NA	0.00000	NA	0.00150	64
1505	0.00000	NA	0.00000	NA	0.00283	46	0.00000	NA
1506	0.00000	NA	0.00000	NA	0.00028	81	0.00000	NA
1507	0.00076	40	0.00021	85	0.00283	45	0.00050	92
1508	0.00000	NA	0.00000	NA	0.00141	57	0.00025	118
1509	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	86
1510	0.00013	63	0.03029	13	0.00085	72	0.00475	46
1511	0.00000	NA	0.00000	NA	0.00651	35	0.00000	NA
1512g	0.00000	NA	0.00000	NA	0.00340	43	0.00050	87
1513	0.00000	NA	0.00021	74	0.00170	54	0.00000	NA
1514	0.00006	65	0.00000	NA	0.00000	NA	0.00000	NA
1515	0.00006	77	0.00000	NA	0.00000	NA	0.00775	36
1516	0.00032	50	0.01660	19	0.00000	NA	0.00450	47
1517	0.00273	34	0.00602	32	0.00453	40	0.00650	38
1518	0.00121	38	0.00104	53	0.00990	26	0.00300	52
1521	0.00000	NA	0.00000	NA	0.00368	42	0.00000	NA
1524	0.00006	71	0.00000	NA	0.00000	NA	0.00000	NA
1525	0.00000	NA	0.00021	88	0.00566	37	0.00000	NA
1527	0.00000	NA	0.00000	NA	0.00453	39	0.00000	NA
1529	0.00000	NA	0.00000	NA	0.00113	62	0.00000	NA
1530	0.00000	NA	0.00000	NA	0.00000	NA	0.00150	63
1531	0.00000	NA	0.00062	58	0.00000	NA	0.00000	NA
1534	0.00000	NA	0.00000	NA	0.00028	86	0.00000	NA
1535	0.00000	NA	0.00000	NA	0.00764	31	0.00025	117
1537	0.00000	NA	0.00104	51	0.00000	NA	0.00000	NA
1539	0.00000	NA	0.00000	NA	0.00000	NA	0.00175	61
1540	0.00000	NA	0.00000	NA	0.00000	NA	0.00075	81
1545	0.00006	72	0.00000	NA	0.00000	NA	0.00000	NA
1547	0.00000	NA	0.00041	61	0.00000	NA	0.00050	84
1552	0.00000	NA	0.00021	89	0.00000	NA	0.00000	NA
1554	0.00000	NA	0.00041	63	0.00000	NA	0.00000	NA
1561	0.00000	NA	0.00021	79	0.00000	NA	0.00000	NA
1801g	0.04620	8	0.03568	10	0.01160	25	0.03952	8
1802	0.00000	NA	0.00000	NA	0.00170	55	0.00025	97
1803	0.00057	42	0.00000	NA	0.00000	NA	0.00025	104
1804	0.00019	58	0.00000	NA	0.00000	NA	0.00000	NA
1806	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	96
1808	0.00006	83	0.00000	NA	0.00000	NA	0.00000	NA
2702	0.00292	33	0.00041	72	0.00028	75	0.00275	55
2703	0.00006	85	0.00228	44	0.00000	NA	0.00100	76
2704	0.00000	NA	0.00000	NA	0.00707	34	0.00025	112
2705g	0.03254	11	0.00664	31	0.00849	28	0.01676	18
2706	0.00000	NA	0.00041	64	0.00283	47	0.00000	NA
2707	0.00038	47	0.00000	NA	0.00113	61	0.00000	NA
2709	0.00006	73	0.00000	NA	0.00000	NA	0.00000	NA
2710	0.00006	82	0.00000	NA	0.00000	NA	0.00000	NA
2712	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	107
2714	0.00019	56	0.00000	NA	0.00000	NA	0.00000	NA
2720	0.00000	NA	0.00000	NA	0.00028	87	0.00000	NA
3501g	0.05713	5	0.06494	3	0.04273	5	0.06353	1
3502	0.01099	19	0.00062	57	0.00226	51	0.01076	30
3503	0.01563	16	0.00353	40	0.02405	16	0.01376	25
3504	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	90
3505	0.00006	68	0.00104	54	0.00990	27	0.00125	68
3506	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	106
3508	0.00375	29	0.00041	62	0.00170	53	0.00900	33
3510	0.00000	NA	0.00000	NA	0.00000	NA	0.00075	78
3511	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	114
3512	0.00019	57	0.00000	NA	0.00000	NA	0.01901	17
3514	0.00000	NA	0.00000	NA	0.00000	NA	0.00300	53
3516	0.00000	NA	0.00000	NA	0.00000	NA	0.00100	77
3517	0.00006	75	0.00000	NA	0.00000	NA	0.01626	19
3520	0.00000	NA	0.00000	NA	0.00000	NA	0.00150	65
3521	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	91
3522	0.00000	NA	0.00000	NA	0.00000	NA	0.00100	75
3523	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	94
3527	0.00006	81	0.00000	NA	0.00000	NA	0.00000	NA
3528	0.00000	NA	0.00021	86	0.00000	NA	0.00075	82
3530	0.00000	NA	0.00000	NA	0.00000	NA	0.00100	71
3543g	0.00000	NA	0.00041	70	0.00000	NA	0.00800	35
3701	0.01347	17	0.00539	33	0.01471	23	0.00575	40
3801	0.02180	14	0.00166	47	0.00453	41	0.01926	16
3802	0.00000	NA	0.00000	NA	0.03650	9	0.00000	NA
3809	0.00006	78	0.00000	NA	0.00000	NA	0.00000	NA
3901g	0.00953	22	0.00415	37	0.01330	24	0.01001	32
3902	0.00000	NA	0.00000	NA	0.00000	NA	0.00400	49
3903	0.00025	52	0.00000	NA	0.00000	NA	0.00025	105
3905	0.00013	59	0.00000	NA	0.00113	64	0.02301	13
3906	0.00502	25	0.00187	45	0.00028	82	0.02026	15
3908	0.00000	NA	0.00000	NA	0.00000	NA	0.00225	57
3909	0.00000	NA	0.00021	76	0.00085	70	0.00050	85
3910	0.00000	NA	0.00705	29	0.00000	NA	0.00025	103
3911	0.00000	NA	0.00000	NA	0.00000	NA	0.00125	69
3912	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	108
3913	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	83
3914	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	111
3915	0.00000	NA	0.00000	NA	0.00057	74	0.00000	NA
3924	0.00038	48	0.00000	NA	0.00000	NA	0.00025	110
4001g	0.05643	6	0.01328	21	0.07980	1	0.01351	26
4002g	0.00991	20	0.00353	39	0.03056	14	0.04852	5
4003	0.00000	NA	0.00000	NA	0.00226	50	0.00000	NA
4004	0.00000	NA	0.00000	NA	0.00000	NA	0.00225	59
4005	0.00000	NA	0.00000	NA	0.00000	NA	0.00550	43
4006	0.00006	80	0.00021	84	0.03707	7	0.00275	54
4008	0.00000	NA	0.00000	NA	0.00000	NA	0.00550	42
4010	0.00000	NA	0.00000	NA	0.00057	73	0.00000	NA
4011	0.00000	NA	0.00000	NA	0.00000	NA	0.00225	58
4012	0.00000	NA	0.00104	50	0.00000	NA	0.00000	NA
4016	0.00000	NA	0.00041	69	0.00000	NA	0.00025	95
4020	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	89
4023	0.00000	NA	0.00000	NA	0.00028	84	0.00000	NA
4027	0.00000	NA	0.00000	NA	0.00000	NA	0.00100	74
4040	0.00000	NA	0.00000	NA	0.00028	76	0.00000	NA
4050	0.00000	NA	0.00000	NA	0.00028	79	0.00000	NA
4101	0.00375	30	0.00498	34	0.00141	58	0.01251	27
4102	0.00362	31	0.00685	30	0.00000	NA	0.00575	41
4103	0.00000	NA	0.00104	52	0.00000	NA	0.00000	NA
4201	0.00000	NA	0.05456	5	0.00000	NA	0.00625	39
4202	0.00013	62	0.00726	28	0.00000	NA	0.00200	60
4402g	0.09011	3	0.02116	17	0.00764	32	0.03327	9
4403	0.04963	7	0.05373	6	0.04244	6	0.06078	2
4404	0.00064	41	0.00021	82	0.00000	NA	0.00025	98
