C	EUR_freq	EUR_rank	AFA_freq	AFA_rank	API_freq	API_rank	HIS_freq	HIS_rank
0102	0.02922	12	0.00850	19	0.13375	2	0.04927	7
0103	0.00000	NA	0.00000	NA	0.00198	24	0.00000	NA
0105	0.00000	NA	0.00000	NA	0.00028	32	0.00000	NA
0107	0.00006	29	0.00000	NA	0.00000	NA	0.00000	NA
0110	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	30
0116	0.00000	NA	0.00021	36	0.00000	NA	0.00000	NA
0118	0.00000	NA	0.00000	NA	0.00028	36	0.00000	NA
0202	0.03729	10	0.08461	5	0.00395	21	0.04227	10
0214	0.00000	NA	0.00021	38	0.00000	NA	0.00000	NA
0218	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	47
0302	0.00146	20	0.01369	14	0.05643	7	0.00625	22
0303g	0.05457	7	0.01182	16	0.05023	8	0.03402	12
0304	0.08215	6	0.05330	8	0.08352	3	0.06978	4
0305	0.00000	NA	0.00041	29	0.00000	NA	0.01201	18
0306	0.00000	NA	0.00000	NA	0.00000	NA	0.00800	21
0307	0.00006	41	0.00000	NA	0.00000	NA	0.00075	29
0308	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	41
0309	0.00006	32	0.00000	NA	0.00000	NA	0.00000	NA
0319	0.00006	37	0.00000	NA	0.00000	NA	0.00000	NA
0336	0.00000	NA	0.00000	NA	0.00028	34	0.00000	NA
0337	0.00000	NA	0.00000	NA	0.00028	33	0.00000	NA
0338	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	36
0401g	0.10534	3	0.18457	1	0.08070	4	0.16508	1
0403	0.00000	NA	0.00041	28	0.01467	14	0.00025	40
0404	0.00006	43	0.00041	33	0.00056	31	0.00025	39
0405	0.00006	45	0.00000	NA	0.00000	NA	0.00000	NA
0406	0.00000	NA	0.00000	NA	0.00113	27	0.00000	NA
0407	0.00000	NA	0.00228	22	0.00000	NA	0.00000	NA
0408	0.00000	NA	0.00041	31	0.00000	NA	0.00025	46
0410	0.00000	NA	0.00000	NA	0.00085	30	0.00000	NA
0413	0.00000	NA	0.00062	26	0.00000	NA	0.00000	NA
0414	0.00000	NA	0.00021	44	0.00000	NA	0.00000	NA
0427	0.00000	NA	0.00021	41	0.00000	NA	0.00000	NA
0501g	0.09136	5	0.03526	10	0.00847	18	0.04652	9
0505	0.00019	24	0.00000	NA	0.00000	NA	0.00000	NA
0507N	0.00006	40	0.00000	NA	0.00000	NA	0.00000	NA
